cohort,metric,day,median,ci_lo,ci_hi
detection,ccu_over_baseline,-7,1.0,1.0,1.0122783610804957
detection,ccu_over_baseline,-6,1.0269722850487797,0.9992286103603759,1.0430520231213873
detection,ccu_over_baseline,-5,1.0283879865137977,0.9998722588886523,1.0751846753281138
detection,ccu_over_baseline,-4,1.0285957907990468,1.0078344414352094,1.0576950678100103
detection,ccu_over_baseline,-3,1.0222090879564218,0.9969997088580724,1.0570869777928147
detection,ccu_over_baseline,-2,1.070984857439292,1.0342512368774324,1.1084179242734185
detection,ccu_over_baseline,-1,1.165589056041636,1.1221569832757488,1.192765178566511
detection,ccu_over_baseline,0,1.4477701149425288,1.4264497878359264,1.4748020670364577
detection,ccu_over_baseline,1,1.2968425321949306,1.2650680492546986,1.3484371182226638
detection,ccu_over_baseline,2,1.2918941048034935,1.2581809132760982,1.3400089505482211
detection,ccu_over_baseline,3,1.1934700063574397,1.1508307794681742,1.2532817772426998
detection,ccu_over_baseline,4,1.2184576254430088,1.1709945229835799,1.260609871109714
detection,ccu_over_baseline,5,1.183966827919834,1.1458654753768116,1.2273179123831557
detection,ccu_over_baseline,6,1.2391690155548596,1.1867970570427315,1.2742372585016173
detection,ccu_over_baseline,7,1.259165619380279,1.2113394555173715,1.3005869904497076
detection,ccu_over_baseline,8,1.2684425279308684,1.2295157539349197,1.3120324209307261
detection,ccu_over_baseline,9,1.2233000243724104,1.1763771568839796,1.2795642056272478
detection,ccu_over_baseline,10,1.2043572984749455,1.1605295013471826,1.2394441403799175
detection,ccu_over_baseline,11,1.1140335307311249,1.0797477875240407,1.1465860754042716
detection,ccu_over_baseline,12,1.1326016709869986,1.0968251590158333,1.1834732104911916
detection,ccu_over_baseline,13,1.1632288597196179,1.1235877888808763,1.207150278843911
detection,ccu_over_baseline,14,1.215471357295264,1.1583054051731545,1.254147367981149
detection,lift_retained,0,1.0,1.0,1.0
detection,lift_retained,1,0.6869060911092382,0.5961049284578697,0.7420707290964595
detection,lift_retained,2,0.5705209656925032,0.49949341438703143,0.6457232131232913
detection,lift_retained,3,0.35963919549462553,0.29174954642262474,0.4361354397588116
detection,lift_retained,4,0.33501220293275547,0.24490084350838137,0.4394423466988114
detection,lift_retained,5,0.3350836250486192,0.26492194674012853,0.3864735630181386
detection,lift_retained,6,0.48825933365657687,0.4141471438025308,0.5600557293703559
detection,lift_retained,7,0.5185089200031573,0.45233145233145233,0.5880964994289486
detection,lift_retained,8,0.5120114758501245,0.43249793226232947,0.5779972852730877
detection,lift_retained,9,0.4587737843551797,0.34796124435569875,0.5119622137796488
detection,lift_retained,10,0.3253460303399402,0.26625422471375565,0.3785310734463277
detection,lift_retained,11,0.172298358487955,0.10257726665982134,0.2457975105864237
detection,lift_retained,12,0.2621611895674621,0.17368288379127805,0.34177215189873417
detection,lift_retained,13,0.33313644418192556,0.2646530612244898,0.40523710380485717
detection,lift_retained,14,0.4056212294011669,0.33233831383213075,0.4716193656093489
control,ccu_over_baseline,-7,1.0,1.0,1.0059594755661503
control,ccu_over_baseline,-6,0.9913314840499307,0.9732102421180979,1.0048474479612204
control,ccu_over_baseline,-5,0.9745166959578208,0.9604603127766302,0.9911598302687411
control,ccu_over_baseline,-4,0.9711979684566541,0.9547324244211157,0.9967344576471088
control,ccu_over_baseline,-3,0.9607121205550884,0.9383223942802353,0.9805092873006258
control,ccu_over_baseline,-2,0.988421052631579,0.9732319391634981,1.0091370789439458
control,ccu_over_baseline,-1,1.0824096604680564,1.0647297192578982,1.1010931604914385
control,ccu_over_baseline,0,1.3864758144126357,1.374947371280338,1.4039343421951391
control,ccu_over_baseline,1,1.2159954002985676,1.199227694230025,1.2408536585365855
control,ccu_over_baseline,2,1.135934916487323,1.1091159248377718,1.1581166325385874
control,ccu_over_baseline,3,1.0648594318748974,1.0491549756015655,1.1003564840271083
control,ccu_over_baseline,4,1.0505706760316067,1.0280410742496051,1.0745016355448638
control,ccu_over_baseline,5,1.073610962921622,1.038630319872036,1.1042571680637598
control,ccu_over_baseline,6,1.1583177966308118,1.1324092661507354,1.1832622329016593
control,ccu_over_baseline,7,1.2088277495837478,1.1870292808052494,1.2268097469851902
control,ccu_over_baseline,8,1.1410872311642377,1.1113476668499471,1.1634179840880934
control,ccu_over_baseline,9,1.0681095322955365,1.0358227030188178,1.0954928854805752
control,ccu_over_baseline,10,0.9904112667615552,0.9691489592279066,1.026784515980597
control,ccu_over_baseline,11,0.9875759978852763,0.9586864703085228,1.0156700255942837
control,ccu_over_baseline,12,1.0241599681197755,0.9949091682682315,1.0423223509873758
control,ccu_over_baseline,13,1.1103847622578926,1.079771857176342,1.1263537906137184
control,ccu_over_baseline,14,1.1458296523411111,1.1173807035876002,1.178255645999541
control,lift_retained,0,1.0,1.0,1.0
control,lift_retained,1,0.5465245827452919,0.5022700900602081,0.5813469542186909
control,lift_retained,2,0.28963431627916947,0.2519012152101381,0.3685072690502537
control,lift_retained,3,0.15798231886088848,0.09537476131756893,0.2011272874840167
control,lift_retained,4,0.09438943894389439,0.0586145648312611,0.16105504198117207
control,lift_retained,5,0.15072428936830523,0.08838957995309998,0.2040046421936196
control,lift_retained,6,0.3617552979774169,0.3054094351449497,0.4218429746923665
control,lift_retained,7,0.49006205740654724,0.40339879670959045,0.5441276886309321
control,lift_retained,8,0.26979549090516697,0.1949612552367381,0.35120746330562036
control,lift_retained,9,0.16837253398192775,0.06185654255417159,0.24611918111772815
control,lift_retained,10,-0.020813623462630087,-0.07420982277607692,0.05682702786859723
control,lift_retained,11,-0.034086067319982954,-0.10910716947384111,0.03199441841921659
control,lift_retained,12,0.04521585040302113,-0.008105703010136965,0.09259366840122038
control,lift_retained,13,0.22757475083056478,0.17379318297771224,0.28561217341871303
control,lift_retained,14,0.3340695748205411,0.27090973895665477,0.40160318150748775
